	HN_B73L2	HN_B73L4	HN_SDL1	HN_SDL2	LN_B73L1	LN_B73L4	LN_SDL3	LN_SDL4
Zm00001d028077	3	1	0	0	3	3	0	0
Zm00001d028084	358	399	285	357	460	591	770	542
Zm00001d022692	19	8	0	0	40	23	0	0
Zm00001d028086	56	28	47	77	78	84	164	98
Zm00001d028088	591	428	454	408	597	833	920	672
Zm00001d028089	91	38	91	118	64	47	91	117
Zm00001d028092	8	6	0	1	29	8	6	4
Zm00001d028093	1347	1725	1330	764	2928	2488	2283	3054
Zm00001d028094	8943	8317	10359	13162	3588	2928	7198	5006
Zm00001d022693	7	4	0	6	1	0	2	0
Zm00001d028096	162	142	123	140	168	218	212	153
Zm00001d028097	407	339	330	332	365	490	533	416
Zm00001d028098	157	143	128	137	191	187	209	173
Zm00001d028100	750	627	14	11	436	716	13	13
Zm00001d028102	153	124	809	759	218	263	1063	1038
Zm00001d028103	5	11	7	1	13	35	6	47
Zm00001d028104	119	94	116	104	176	194	206	160
Zm00001d028105	132	121	105	112	257	218	288	190
Zm00001d028107	3	8	1	0	6	31	23	17
Zm00001d028108	0	0	2	3	1	0	8	10
Zm00001d028109	419	384	266	303	376	540	659	465
Zm00001d028110	2	0	1	1	7	2	13	6
Zm00001d028111	288	185	132	130	359	397	357	327
Zm00001d028112	348	265	224	237	189	206	174	157
Zm00001d028113	54	53	57	46	79	137	128	72
Zm00001d028114	237	141	335	357	208	173	442	322
Zm00001d028116	0	0	204	187	0	0	262	304
Zm00001d028117	925	541	1021	662	720	710	952	956
Zm00001d028118	32	35	65	24	125	108	58	103
Zm00001d028119	137	133	0	0	66	76	0	0
Zm00001d028122	15	1	25	16	23	1	21	22
Zm00001d028125	17	6	14	27	26	11	18	41
Zm00001d028128	30	26	28	12	29	31	42	44
Zm00001d028129	0	2	0	0	0	44	28	35
Zm00001d028130	60	36	31	50	88	78	106	74
Zm00001d028138	7	4	277	223	1	7	146	162
Zm00001d028139	72	89	29	88	156	349	146	141
Zm00001d028140	620	563	1	2	698	932	1	1
Zm00001d028142	0	6	3	2	6	9	1	1
Zm00001d028143	844	592	482	566	751	812	712	601
Zm00001d028144	1462	1027	585	453	1309	3073	1441	1180
Zm00001d028151	2031	1433	2696	2730	2573	2292	4498	3787
Zm00001d028152	258	194	268	232	356	294	365	298
Zm00001d028153	3659	2390	3775	3422	2408	1798	2480	2269
Zm00001d028154	110	89	181	148	45	109	66	61
Zm00001d028159	3	0	13	11	2	3	0	0
Zm00001d028160	9	3	14	6	3	4	2	3
Zm00001d028161	29	18	16	23	19	37	34	31
Zm00001d028162	199	177	249	211	216	182	395	257
Zm00001d028164	3582	3035	4037	3767	3051	2727	2281	1725
Zm00001d028165	5	38	2	0	0	95	20	39
Zm00001d028167	12	5	29	7	73	160	42	153
Zm00001d028168	0	0	53	120	0	0	222	112
Zm00001d028170	29	26	23	34	58	32	27	27
Zm00001d028171	166	171	21	21	360	462	62	86
Zm00001d028172	63	50	135	119	29	5	22	29
Zm00001d028173	308	262	255	238	393	355	448	376
Zm00001d028174	100	99	69	90	120	154	151	94
Zm00001d028177	1166	942	744	831	1327	1242	1257	1013
Zm00001d028178	4	0	0	0	2	0	3	3
Zm00001d028179	0	0	1	3	0	0	8	3
Zm00001d028180	612	397	1942	1505	1454	1121	6104	5595
Zm00001d028181	993	673	858	782	903	845	935	857
Zm00001d028182	0	0	70	23	0	0	31	36
Zm00001d028183	600	460	693	594	691	745	820	725
Zm00001d028184	111	131	0	0	149	169	0	0
Zm00001d028185	171	158	220	240	120	156	310	313
Zm00001d028186	655	461	296	264	358	347	330	232
Zm00001d028187	758	544	639	701	809	606	543	573
Zm00001d028188	228	207	217	176	496	304	321	306
Zm00001d028189	147	125	358	352	265	191	366	392
Zm00001d028191	265	235	158	130	524	570	349	274
Zm00001d028193	1761	1396	1272	1220	1950	1911	1805	1294
Zm00001d028194	797	601	1351	1026	668	828	1256	1075
Zm00001d028195	3	6	2	8	4	2	0	3
Zm00001d028197	16	6	8	6	2	13	13	13
Zm00001d028199	35	45	69	53	37	23	30	60
Zm00001d028201	2997	2637	1902	1800	3153	3326	3433	2722
Zm00001d028202	3	1	1	1	2	1	0	0
Zm00001d028203	738	726	842	721	842	990	1311	977
Zm00001d028204	27	11	47	31	23	22	65	56
Zm00001d028205	45	28	11	23	119	109	60	41
Zm00001d028207	2986	2251	2793	2559	2449	2194	2280	2129
Zm00001d028208	1097	967	889	959	1094	1595	2372	1741
Zm00001d028210	3	0	0	0	1	13	1	3
Zm00001d028211	128	95	145	135	154	128	165	152
Zm00001d028213	647	557	578	640	615	587	814	636
Zm00001d028214	95	148	94	72	369	566	282	328
Zm00001d028216	3	1	1	2	1	3	3	6
Zm00001d028217	0	3	5	7	0	3	15	10
Zm00001d028218	1389	1061	849	729	1662	1489	1410	1188
Zm00001d028219	346	223	390	481	399	201	147	155
Zm00001d028220	115	150	120	72	208	237	287	144
Zm00001d028221	899	772	904	814	821	597	732	652
Zm00001d028222	1	1	3	0	3	0	0	2
Zm00001d028225	3	1	0	0	2	4	3	1
Zm00001d028227	335	290	341	305	184	232	357	298
Zm00001d028228	56	53	0	7	46	89	29	25
Zm00001d028229	38	52	50	46	38	42	91	70
Zm00001d028230	2404	2707	804	374	3469	6876	2199	2866
Zm00001d028231	15	18	27	19	36	7	40	61
Zm00001d028232	885	652	941	816	835	656	805	650
Zm00001d028233	0	0	7	11	0	0	10	8
Zm00001d028235	130	121	158	111	195	286	313	224
Zm00001d028237	10	6	16	4	15	29	38	31
Zm00001d028238	170	150	177	123	303	362	412	387
Zm00001d028240	7300	4168	8444	8359	2357	1450	2449	2427
Zm00001d028241	2495	1769	1308	1011	3896	2077	1469	1709
Zm00001d028243	5	4	4	10	16	14	17	9
Zm00001d028244	197	203	188	170	280	271	423	360
Zm00001d028250	7	4	3	5	4	0	2	1
Zm00001d028252	22	16	52	87	32	49	76	86
Zm00001d028255	4	1	1	0	6	13	0	0
Zm00001d028256	146	128	339	272	179	151	376	387
Zm00001d028257	165	111	164	158	200	266	233	193
Zm00001d028258	274	222	499	462	273	236	454	480
Zm00001d028260	3475	2303	2067	1645	2680	3277	3009	2892
Zm00001d028261	933	804	672	764	997	1063	1239	960
Zm00001d028262	593	620	411	369	964	1234	1090	793
Zm00001d028263	2	1	3	5	5	10	23	24
Zm00001d028264	254	237	70	66	178	326	118	84
Zm00001d028265	735	744	792	676	870	949	1295	949
Zm00001d028266	1	3	6	0	0	2	17	1
Zm00001d028267	973	702	1290	1357	2022	2624	3865	3154
Zm00001d028269	195	317	136	129	409	612	230	186
Zm00001d028270	0	62	45	31	62	127	56	69
Zm00001d028272	1875	1222	1650	1611	1937	1608	2259	1867
Zm00001d028273	1092	971	647	969	1328	1147	1536	1084
Zm00001d028274	6	2	26	26	11	16	96	77
Zm00001d028275	7	10	29	32	43	10	96	59
Zm00001d028279	472	467	516	490	755	921	1135	884
Zm00001d028280	185	157	350	299	191	372	132	184
Zm00001d028282	163	124	805	521	356	106	144	305
Zm00001d028284	25	15	43	34	31	32	19	17
Zm00001d028285	340	296	350	378	321	328	606	469
Zm00001d028287	171	186	53	52	172	308	157	146
Zm00001d028288	22	17	0	0	20	23	0	0
Zm00001d028293	350	379	247	210	561	925	552	456
Zm00001d028294	332	222	127	176	337	340	193	149
Zm00001d028295	7	41	0	0	11	106	0	0
Zm00001d028296	768	603	545	518	869	935	716	625
Zm00001d028297	122	117	43	74	132	145	174	112
Zm00001d028298	2293	1787	2144	2098	1502	1311	1586	1392
Zm00001d028299	741	379	248	146	1131	936	272	236
Zm00001d028303	80	85	501	221	2015	2857	10717	8067
Zm00001d028304	431	367	299	264	591	693	723	623
Zm00001d028307	151	111	140	69	362	427	382	352
Zm00001d028308	80	65	112	94	150	138	285	216
Zm00001d028309	183	148	176	212	306	370	607	392
Zm00001d028311	264	183	243	260	209	247	384	258
Zm00001d028312	9	1	3	1	1	0	0	1
Zm00001d028314	8	7	7	0	5	1	0	0
Zm00001d028315	3	2	0	0	1	2	0	0
Zm00001d028317	137	129	184	165	107	132	95	112
Zm00001d028318	5	4	1	2	0	12	8	4
Zm00001d028319	18	13	32	40	61	54	65	69
Zm00001d028320	2	0	0	2	2	0	3	0
Zm00001d028323	0	0	38	18	0	0	51	43
Zm00001d028325	357	258	445	409	443	487	727	747
Zm00001d028328	37	24	21	24	19	18	34	28
Zm00001d028330	818	895	8	0	970	1320	27	50
Zm00001d028331	516	395	572	595	647	842	783	600
Zm00001d028332	268	253	404	412	677	923	1206	1032
Zm00001d028336	0	0	3	10	0	0	20	24
Zm00001d028338	674	306	761	829	476	386	629	537
Zm00001d028339	1125	1072	832	872	1080	1125	1228	1010
Zm00001d028341	39	20	7	5	28	35	35	31
Zm00001d028344	1827	1775	763	1030	1675	2050	1784	1064
Zm00001d028347	6	2	0	0	41	50	0	2
Zm00001d028348	11	8	21	22	6	0	9	10
Zm00001d028349	0	6	14	6	4	21	147	241
Zm00001d028352	353	227	4	5	403	342	8	5
Zm00001d028354	183	105	282	362	191	223	599	406
Zm00001d028355	160	127	257	181	198	270	538	392
Zm00001d028356	9	0	0	1	4	5	1	0
Zm00001d028357	28	10	11	3	5	15	17	20
Zm00001d028358	82	47	55	40	104	104	80	62
Zm00001d028359	758	574	480	414	1325	1808	1229	1044
Zm00001d028360	1436	855	401	356	1128	1178	359	278
Zm00001d028361	5	10	44	97	11	3	20	37
Zm00001d028362	0	0	5	1	11	3	16	18
Zm00001d028363	137	88	286	279	251	127	264	225
Zm00001d028365	26	44	42	54	21	25	108	82
Zm00001d028366	75	82	33	54	86	88	78	99
Zm00001d028367	1450	1977	343	237	181	164	53	67
Zm00001d028368	385	540	279	234	411	835	790	524
Zm00001d028369	142	161	146	75	129	112	79	149
Zm00001d028370	556	568	440	420	694	621	515	516
Zm00001d028371	628	400	710	520	432	333	544	476
Zm00001d028372	480	390	293	399	462	512	614	498
Zm00001d028373	418	190	389	366	285	242	373	299
Zm00001d028374	24	38	10	24	47	258	72	138
Zm00001d028375	240	221	292	240	300	445	351	295
Zm00001d028377	41	31	67	42	99	87	99	118
Zm00001d028379	8	5	9	9	10	11	12	7
Zm00001d028380	610	454	485	528	643	706	820	569
Zm00001d028384	605	455	760	536	681	627	720	599
Zm00001d028385	371	310	264	272	384	468	588	384
Zm00001d028386	1360	936	1391	1434	1490	1929	3039	2110
Zm00001d028388	20	9	28	15	9	26	32	26
Zm00001d028389	348	351	139	63	245	364	148	88
Zm00001d028391	278	223	183	247	187	99	208	177
Zm00001d028392	1833	1762	2659	1992	881	778	1299	1001
Zm00001d028393	6	17	6	10	22	12	10	19
Zm00001d028394	2	0	29	30	1	2	55	32
Zm00001d028396	1400	1146	1538	1446	1339	1215	1601	1196
Zm00001d028397	3749	3086	2993	3344	1864	1870	2824	2118
Zm00001d028398	31	37	20	9	31	39	2	12
Zm00001d028399	792	627	1052	1108	240	159	607	494
Zm00001d028400	1108	723	1290	534	174	19	13	16
Zm00001d028401	9	9	0	0	4	2	0	2
Zm00001d028404	33	15	26	28	43	79	45	38
Zm00001d028406	1744	1347	1665	872	3408	1990	1607	2551
Zm00001d028408	24	38	49	13	447	377	380	355
Zm00001d028409	411	175	157	171	144	89	43	79
Zm00001d028412	1937	1488	2031	1793	2185	1146	1541	1642
Zm00001d028413	3	1	0	2	2	1	1	1
Zm00001d028414	480	228	557	560	319	279	374	378
Zm00001d028415	476	507	255	268	662	747	431	273
Zm00001d028416	129	90	156	78	335	301	158	155
Zm00001d028417	908	717	725	726	1034	1454	1433	1217
Zm00001d028419	18	22	1	1	14	17	1	18
Zm00001d028422	2	5	6	4	7	1	11	12
Zm00001d028423	171	131	88	111	260	271	205	148
Zm00001d028424	1178	924	1038	957	1080	923	1296	991
Zm00001d028425	146	164	116	120	247	202	215	201
Zm00001d028426	27	25	60	22	74	75	87	75
Zm00001d028427	51	36	32	26	56	44	38	37
Zm00001d028428	489	463	716	599	1188	1357	1282	1167
Zm00001d028429	139	116	112	110	124	76	152	110
Zm00001d028431	0	0	2	8	0	3	8	8
Zm00001d028432	12998	10277	4740	5497	2304	1713	1523	1154
Zm00001d028434	1	0	73	110	0	0	125	92
Zm00001d028436	3839	3170	3405	3146	4032	3897	4256	3345
Zm00001d028437	3	0	4	1	3	2	0	4
Zm00001d028438	420	393	441	356	725	807	881	701
Zm00001d028439	134	97	118	137	150	190	219	181
Zm00001d022712	1	9	0	0	13	21	0	6
Zm00001d028440	3	32	4	3	74	149	4	22
Zm00001d028443	124	126	63	66	252	388	200	163
Zm00001d028445	0	0	0	0	25	12	1	2
Zm00001d028447	13	13	9	5	15	11	4	16
Zm00001d028450	1229	1178	1001	805	985	1023	1262	938
Zm00001d028451	21	12	19	7	54	41	33	34
Zm00001d028453	102	68	143	129	240	174	297	199
Zm00001d028454	11	13	2	2	63	140	16	28
Zm00001d028456	147	171	241	396	630	1296	1822	971
Zm00001d028457	25	4	60	94	22	6	95	103
Zm00001d028458	135	160	163	147	220	208	189	157
Zm00001d022713	3	12	8	12	13	8	14	4
Zm00001d028463	59	52	48	58	112	141	175	137
Zm00001d028464	623	439	430	373	470	445	727	596
Zm00001d028465	201	276	279	213	888	1177	577	764
Zm00001d028467	14	7	1	0	103	98	14	22
Zm00001d028469	54	26	21	19	252	237	141	92
Zm00001d022714	4	0	44	32	0	1	38	21
Zm00001d028471	167379	137704	88600	115291	126512	126412	137015	111495
Zm00001d028472	2776	2582	1240	1493	1909	2251	2133	1503
Zm00001d028473	1	6	42	33	7	7	56	53
Zm00001d028474	2162	1749	1783	1850	1104	1184	1015	681
Zm00001d028475	715	487	365	301	595	638	402	276
Zm00001d028477	948	767	1298	1015	1685	1769	1764	1814
Zm00001d028481	1344	1254	1145	1349	1818	2405	2955	2015
Zm00001d028482	127	94	105	115	333	437	285	294
Zm00001d028484	19	22	5	26	39	38	15	22
Zm00001d028485	64	46	72	55	118	149	155	132
Zm00001d028486	9	0	15	25	41	11	35	139
Zm00001d028488	1	0	2	0	2	4	0	1
Zm00001d028490	422	377	351	362	501	528	572	473
Zm00001d028493	390	343	234	261	339	383	370	302
Zm00001d028502	16	33	22	49	7	12	18	16
Zm00001d028503	15	6	0	0	19	9	0	0
Zm00001d028505	831	612	478	485	546	525	489	364
Zm00001d028509	754	685	1180	1187	1062	1110	1807	1437
Zm00001d028510	785	734	878	542	3650	3373	3402	3156
Zm00001d028511	343	282	321	227	479	593	680	590
Zm00001d028512	16	4	8	4	26	20	6	5
Zm00001d028513	85	85	98	62	234	235	218	209
Zm00001d028514	247	292	140	120	404	335	289	319
Zm00001d028515	680	539	500	526	854	789	665	644
Zm00001d028517	1	1	0	0	1	11	1	2
Zm00001d028521	0	0	1	2	0	0	8	2
Zm00001d028522	173	91	102	127	181	135	166	149
Zm00001d028526	3	0	7	12	6	0	5	1
Zm00001d028528	289	260	234	219	205	186	366	268
Zm00001d028529	582	399	430	487	658	579	709	579
Zm00001d028530	72	61	43	49	118	133	118	107
Zm00001d028531	180	169	184	172	462	516	328	295
Zm00001d028532	683	518	566	629	674	687	783	599
Zm00001d028533	635	431	389	450	572	555	721	547
Zm00001d028534	142	176	252	322	312	274	801	849
Zm00001d028535	624	559	554	509	782	847	769	693
Zm00001d028536	3516	3300	2711	2617	3068	2906	3407	3003
Zm00001d028537	26	21	41	24	37	24	36	24
Zm00001d028538	18	1	7	1	3	11	10	20
Zm00001d028539	862	789	584	431	679	689	929	731
Zm00001d028540	150	133	68	78	166	222	169	112
Zm00001d028541	0	1	2	0	1	0	0	1
Zm00001d028542	11041	7210	13123	12712	4861	4058	4809	4705
Zm00001d028543	414	294	188	246	383	385	407	342
Zm00001d028546	550	522	449	555	732	1031	1222	937
Zm00001d028547	48	19	349	286	81	24	312	274
Zm00001d028548	345	225	126	156	475	202	65	111
Zm00001d028549	487	364	799	743	368	334	736	652
Zm00001d028550	287	218	405	333	298	257	387	311
Zm00001d028552	43	29	0	0	23	33	0	0
Zm00001d028554	84	124	42	24	140	156	89	79
Zm00001d028556	6	18	0	2	24	24	3	0
Zm00001d028557	469	454	91	71	561	640	304	252
Zm00001d028558	375	306	355	404	586	535	766	569
Zm00001d028560	190	124	230	332	233	58	213	219
Zm00001d028561	2	13	7	16	27	51	11	40
Zm00001d028562	30142	22719	20782	23313	11280	8623	10858	9944
Zm00001d028565	49	34	25	47	90	84	36	34
Zm00001d028566	383	284	357	441	551	545	1029	854
Zm00001d028567	0	2	23	18	26	7	35	18
Zm00001d028568	1165	834	875	886	1030	1052	1275	1002
Zm00001d028569	270	224	253	228	437	484	550	472
Zm00001d028570	2780	2600	1470	1993	3305	3771	3893	2420
Zm00001d028571	437	322	412	353	310	287	362	344
Zm00001d028572	141	80	121	135	289	377	211	206
Zm00001d028574	147	194	40	24	320	211	149	191
Zm00001d028575	1001	632	831	713	818	636	812	604
Zm00001d028576	282	270	456	542	652	529	848	623
Zm00001d028577	84	132	117	64	248	190	86	173
Zm00001d028579	1273	1092	979	1105	872	1023	1338	1108
Zm00001d028585	4770	3687	3395	3501	3871	3340	3421	2705
Zm00001d028586	196	90	217	174	255	289	281	285
Zm00001d028587	0	2	0	0	3	0	7	4
Zm00001d028588	28	24	9	13	17	7	3	4
Zm00001d028590	159	89	48	63	173	226	113	111
Zm00001d028591	0	2	6	7	13	5	4	12
Zm00001d028593	108	85	66	114	138	125	144	120
Zm00001d028594	0	1	0	0	0	1	4	2
Zm00001d028596	210	182	168	184	309	290	212	130
Zm00001d028597	205	129	171	127	269	343	425	396
Zm00001d028598	37	38	49	69	49	38	37	26
Zm00001d028599	83	37	108	105	113	31	54	87
Zm00001d028601	6126	7094	9912	7919	6285	5824	12877	9270
Zm00001d022716	0	1	0	1	3	2	18	6
Zm00001d022717	0	3	0	1	1	1	1	2
Zm00001d028603	493	368	377	515	244	250	788	566
Zm00001d028604	9	7	7	6	15	9	20	19
Zm00001d022718	18	8	0	0	24	12	0	0
Zm00001d028606	1380	1117	1338	1333	1687	2088	2410	2134
Zm00001d028608	1735	1803	1862	2200	1146	1431	2991	2242
Zm00001d028611	12	2	5	14	4	20	30	24
Zm00001d028612	343	256	380	360	302	321	459	440
Zm00001d028613	1582	1412	781	813	2107	2029	1243	998
Zm00001d028615	6	5	13	13	8	13	6	4
Zm00001d028616	692	633	21	34	175	164	41	26
Zm00001d028619	596	583	363	513	811	1019	1114	724
Zm00001d028620	1204	1138	848	1048	1017	804	1142	1088
Zm00001d028621	2	0	2	2	1	0	1	0
Zm00001d022720	2	1	10	3	1	1	5	22
Zm00001d028622	701	631	590	441	722	730	789	653
Zm00001d028623	640	708	468	657	451	290	527	446
Zm00001d028625	1320	849	555	478	1014	1029	529	471
Zm00001d028630	271	419	719	496	258	445	605	772
Zm00001d028631	256	195	243	283	368	372	553	371
Zm00001d028640	0	0	7	10	0	0	13	15
Zm00001d028641	121	81	87	63	210	197	261	219
Zm00001d028642	40	49	14	20	20	60	44	9
Zm00001d028643	2919	2313	2464	2830	2482	2735	3979	2978
Zm00001d028646	6	6	1	10	6	22	21	21
Zm00001d028649	521	615	238	123	1216	1600	274	477
Zm00001d028650	0	1	7	6	0	0	15	4
Zm00001d028651	20	28	123	39	21	88	293	379
Zm00001d028653	172	178	454	210	482	472	445	635
Zm00001d028654	206	235	148	96	84	65	34	54
Zm00001d028655	1280	969	920	1010	1354	1209	1347	979
Zm00001d028656	1254	997	1257	1084	1424	1231	1316	1215
Zm00001d028658	2	0	8	8	0	0	0	2
Zm00001d028660	894	608	323	405	750	798	991	715
Zm00001d028661	167	145	147	112	290	281	396	310
Zm00001d028662	556	388	430	427	443	410	487	468
Zm00001d028664	3	2	0	0	59	156	73	49
Zm00001d028665	133	108	127	53	194	191	152	179
Zm00001d028667	1	8	1	0	3	16	0	2
Zm00001d028668	454	401	252	230	554	528	344	302
Zm00001d028669	13	7	21	49	4	19	45	46
Zm00001d028670	14765	10206	13464	13433	5799	4199	7849	6962
Zm00001d028671	723	552	563	573	827	1047	1000	847
Zm00001d028672	419	325	368	377	342	370	378	337
Zm00001d028675	9	5	17	23	11	4	3	4
Zm00001d028676	581	456	368	389	618	546	621	506
Zm00001d028679	2208	1975	1241	1240	2977	4074	2340	1542
Zm00001d028680	274	342	61	76	203	479	63	29
Zm00001d028685	10	7	19	6	6	0	4	8
Zm00001d028686	881	974	327	158	711	699	283	308
Zm00001d028687	802	604	595	502	1045	1527	941	845
Zm00001d028689	6	17	11	14	41	52	51	61
Zm00001d028690	1407	1395	1111	1244	1328	1769	2003	1602
Zm00001d028691	210	186	164	158	290	453	436	405
Zm00001d028692	3470	2726	1950	1445	7215	7577	6063	5199
Zm00001d028693	3240	2330	339	221	3567	3385	1495	1549
Zm00001d028695	358	285	245	202	431	417	433	360
Zm00001d028696	153	68	27	31	130	140	61	54
Zm00001d028697	14	11	14	9	9	37	22	19
Zm00001d028698	484	333	340	370	493	545	586	464
Zm00001d028699	473	519	457	464	694	1014	1226	837
Zm00001d028702	3194	2247	3154	3389	1800	1710	2175	1820
Zm00001d028704	5638	4805	2667	2356	4979	4490	3160	2554
Zm00001d028705	65	62	68	91	111	107	92	87
Zm00001d028707	819	599	684	620	1551	2109	2113	1692
Zm00001d028708	200	343	130	44	2975	3380	315	386
Zm00001d028709	4006	3583	6019	5131	6680	7191	7508	6790
Zm00001d028710	12	5	8	25	12	14	11	15
Zm00001d028711	248	253	92	59	827	1466	283	534
Zm00001d028712	1358	944	1355	1312	1226	1005	1174	1033
Zm00001d028713	550	511	539	415	1269	1454	752	961
Zm00001d028715	51	37	89	109	36	76	175	136
Zm00001d028718	3	0	0	0	44	467	13	15
Zm00001d028720	204	204	235	128	877	1842	1336	973
Zm00001d028721	0	7	0	0	4	22	0	8
Zm00001d028725	181	232	426	306	373	143	459	986
Zm00001d028726	599	448	246	203	725	891	375	357
Zm00001d028727	618	430	684	695	630	607	820	763
Zm00001d028728	207	193	229	264	263	317	455	311
Zm00001d028730	386	300	316	301	495	454	586	419
Zm00001d028731	193	196	282	293	259	333	427	310
Zm00001d028732	0	0	156	120	0	0	322	191
Zm00001d028733	273	200	469	512	337	472	706	519
Zm00001d028735	298	228	222	158	276	299	187	207
Zm00001d028736	113	100	94	119	132	142	146	133
Zm00001d028740	53	44	0	0	33	42	5	2
Zm00001d028741	24	12	0	0	23	26	0	0
Zm00001d028742	7302	5823	6640	5890	4675	3604	4227	4191
Zm00001d028743	0	0	3	9	0	0	10	8
Zm00001d028744	1091	1116	2285	1333	1180	1112	2020	1636
Zm00001d028745	2732	2081	4788	5333	1599	1371	2283	2139
Zm00001d028746	1	8	1	20	12	6	18	19
Zm00001d028748	263	230	9	3	295	350	9	7
Zm00001d028749	18	12	74	83	6	9	32	41
Zm00001d028750	146	180	587	322	18	23	1	7
Zm00001d028751	118	71	119	160	365	156	117	192
Zm00001d028752	488	584	275	338	712	608	823	968
Zm00001d028753	452	402	414	359	482	505	613	490
Zm00001d028754	94	116	115	101	87	28	128	127
Zm00001d028755	1787	1405	1427	1676	1468	1405	2003	1579
Zm00001d028756	305	219	126	152	197	162	140	100
Zm00001d028757	245	176	146	133	227	289	293	177
Zm00001d028759	137	104	89	92	269	236	267	365
Zm00001d028760	3	1	0	3	3	8	3	6
Zm00001d028761	9	2	14	2	8	4	3	8
Zm00001d028762	323	259	371	357	555	566	850	650
Zm00001d028765	0	0	57	97	0	0	211	124
Zm00001d028768	19	15	26	24	46	62	74	59
Zm00001d028769	30	15	12	32	28	16	15	16
Zm00001d028770	604	342	450	702	439	299	480	471
Zm00001d028771	56	48	11	19	54	72	44	36
Zm00001d028772	0	0	11	7	0	0	30	25
Zm00001d028773	448	360	335	282	475	499	338	307
Zm00001d028774	8	11	964	663	24	19	548	329
Zm00001d028775	640	632	733	601	1128	1333	1504	1086
Zm00001d028776	467	426	631	544	680	755	1084	841
Zm00001d028778	1	7	9	0	1	1	2	0
Zm00001d028779	85	72	78	79	108	101	111	82
Zm00001d028780	215	182	53	75	215	457	174	161
Zm00001d028782	430	331	233	155	394	491	292	284
Zm00001d028783	72	32	73	75	43	66	183	113
Zm00001d028784	290	243	118	111	294	312	150	178
Zm00001d028785	199	230	131	65	432	916	538	432
Zm00001d028786	967	620	1036	655	1364	1149	1355	1266
Zm00001d028787	906	425	687	666	435	399	431	383
Zm00001d028793	1050	806	969	827	1080	642	724	890
Zm00001d028799	1	1	7	2	2	0	47	43
Zm00001d028801	1283	1063	836	815	1515	1479	1321	1166
Zm00001d028802	95	75	86	85	189	136	132	119
Zm00001d028803	12	6	0	2	11	10	7	6
Zm00001d028804	360	252	366	281	413	340	379	326
Zm00001d028806	298	236	320	342	651	760	443	322
Zm00001d028807	491	380	498	350	542	611	455	498
Zm00001d028808	60	30	20	27	73	36	17	38
Zm00001d028809	51	55	60	24	43	162	75	106
Zm00001d028810	1740	1434	1087	859	1661	1925	1924	1495
Zm00001d028811	21	21	28	55	49	31	31	24
Zm00001d028812	207	168	122	113	331	305	138	113
Zm00001d028813	38	36	101	56	78	109	335	263
Zm00001d028814	69	191	13	5	99	229	13	154
Zm00001d028815	82	219	386	139	111	265	276	2492
Zm00001d028816	37	188	149	26	25	114	132	2239
Zm00001d028818	1218	1210	993	1213	1376	1585	2862	2070
Zm00001d028819	15	22	12	6	46	74	99	79
Zm00001d028820	1088	999	746	489	1212	1130	759	839
Zm00001d028821	2	2	1	0	10	2	4	2
Zm00001d028823	19	17	34	29	25	31	54	39
Zm00001d028824	203	134	280	327	306	203	297	252
Zm00001d028825	80	86	122	154	160	164	214	210
Zm00001d028826	90	94	89	87	64	40	48	102
Zm00001d028827	166	110	152	142	148	262	317	231
Zm00001d028830	28	16	35	45	52	26	51	63
Zm00001d028834	81	99	92	104	156	164	206	170
Zm00001d028835	59	66	39	49	86	131	98	66
Zm00001d028836	11	11	10	12	19	15	12	23
Zm00001d028837	23	16	9	12	24	27	28	15
Zm00001d028838	69	81	16	9	77	24	12	85
Zm00001d028839	0	0	81	77	0	6	135	116
Zm00001d028840	1	0	1	0	1	2	7	6
Zm00001d028841	1	1	4	1	7	0	0	0
Zm00001d028861	0	0	65	27	2	4	50	36
Zm00001d028863	28	45	88	67	23	59	143	89
Zm00001d028866	181	159	106	151	386	203	337	530
Zm00001d028867	2163	1477	2017	2402	2063	1266	1968	1698
Zm00001d028868	661	558	789	740	735	651	869	874
Zm00001d028870	5	14	9	4	10	30	5	28
Zm00001d028872	13	17	6	3	14	10	19	7
Zm00001d028873	0	0	11	6	0	2	16	11
Zm00001d028875	9	7	10	15	9	9	10	9
Zm00001d028876	0	0	23	53	0	0	53	38
Zm00001d028880	2464	1633	1316	1291	3114	3141	2479	1900
Zm00001d028885	272	168	207	249	435	456	438	370
Zm00001d028886	7	2	3	0	6	6	30	29
Zm00001d028890	184	144	166	192	314	333	543	376
